ID,Text_Input
1,I was at work and I asked my supervisor what to do about a particular problem.  She said not to worry about it and we'd get to it later.  I then got chewed out by the boss because I left the problem unfixed.  I felt bad because I should have stuck up for yself.  I just let that girl throw me under the bus and I didn't say anything.  I wish I would've done things differently and stood up for myself more because I let her dictate my reputation and that wasn't fair.  My boss doesn't always care what my opinins are.  I don't like that he has so many other political considerations to think about.
2,"We have a great relationship. Whenever I need help with anything I can rely on his knowledge and expertise to help me out. He is available on call at any time. He shows me respect by letting me have freedom and autonomy. In other words he trusts me and dos not micromanage. My relationship with him is similar to others in that we trust him and he trusts us. His door is always open to all of us. I am a personable and sociable type of person so maybe I am a bit closer to him than others just because I am goo at small talk and chit chat. But thinking about it, I have been there over 6 years and never even had a cross word with him. It is a very professional relationship in that sense but there is also a personal aspect to it as well in that we all look up to im and he treats us with respect."
3,"I almost never speak with him. he does not know what i do and couldn't give me any coaching if he tried. but thankfully, he does not even try. My relationship with him is the same as with my previous manager - it is virtually nonexistent. That means that e barely ever interact other than at company holiday parties. I am basically on my own left to do what i think is best for my department and in my area using my skill set and experience. I guess I still have to come up with some more words to hit the minium lol. wow and now i got an error saying that this response must be at least 600 characters. you are joking - this is for one measly dollar? not enough money to justify this level of work."
4,"At work, my manager provides me with a great deal of coaching. Given that this was my first job, my manager really took me under his wing and showed me what I should be doing to succeed in my role at this company. He has always been kind and receptive to y needs as an employee. If I ever go above and beyond in a task, he always makes note of it and finds a way to somehow give back to me. This is not limited to me either. He has been treating all of his employees in this manner for years."
5,"Productive, respectful relationships between a boss and his or her employees is key to any company’s success. While the boss’ top priority is likely to have hardworking employees who fulfill his vision for the company, it’s a safe bet that he’d alo like to have more than superficial relationships with the people he works with every day. After all, he probably spends more time with his staff than he does with anyone else. There have been a number of times that I’ve shared ideas with employees, an they’ve come back and suggested—politely of course—that my idea may not be the best route. The reason I don’t get upset is because, along with the rejection of my idea, they present a suggestion for something else. Or, better still, they considerhow they can adapt my idea and make it work more effectively."
6,"  I am proved as much coaching and development that I feel that I need.  This is discussed at my Goals and objective meetings.  Basically whatever I feel I need will be provided for me.  My leader behaves in a way that I believe that she respects me.  Shealways listens to my ideas, and to my discussions that I have during meeting..  All of us in the dept. feel the same way toward my manger, she is the best.  This shows in all of our attitudes and our perfromance through out the company.  We are a very tigt group.  We have the attitude that what happens to one of us happens to all of us.  Working as a team is our main focus and is emphasized in everything that we do."
7,Currently the leader of my organization does not provide much coaching to myself as I our job duties are very much separate but benefit the same situations. He respects me by giving me things to accomplish that are difficult and sensitive showing that he rusts my work and believe in my abilities to accomplish tasks. My relationship with  my leader is different from co-workers because my job duties differ from the other ones. I have a specific portion of the business that I am in charge of and no one else s a support staff. Thus my leader and I work closer together on projects and tasks. We are very involved and my work directly affects his ability to do his work
8,I only see the Leader of my company every few months. She is good at telling us what we need to work on though at our quarterly meetings.  If we need remediation she communicates through phone or email to help us. She is friendly and unless you call off o do somthing really bad at work she will then be meaner. I had a friend who worked for the same place and my leader was not as kind to her.  But she had a lot of babysitting issues or very bad clients.  The leader wasn't able to work with her and she quit
9,It's not a great working relationship. We both work in a kitchen together as part owners and we tend to get very angry and frustrated with each other...as people tend to do when they're working in close confines and in stressful situations.
10,I have a positive relationshup with my work leader. He is always providing feedback on my teaching. He respects me because he always breaks down my areas of strength and my areas of weakness without making me feel worthless. I am constantly emailing him o speaking to him about what is happening in my classroom and what his opinion are. I believe i have a similar relationship that most of my coworkers have with him because our boss is very personable and friendly. He wantes the best for everoyne and his acions speak for themselves. he is a great boss. His performance is what drives us to be better leaders in our schools and teachers.
11,"My manager doesn't care about anyone but himself. He's selfish and doesn't pay any attention to lower level employees. He has no respect for anyone. He's discriminated against me and he's started rumors about me and other employees because I am gay and hesaw me as a threat because I spoke up to his higher ups about him harassing me. He was constantly watching my every move, telling me I couldn't do something even though other employees did them, my time stamps were being watched as well as when I left to o to lunch like who I left with and where I went. There is no coaching. I had to find out everything on my own. When he's ever presented with an issue in front of customers because lower level is confused or something gets jammed up, he has no idea what h's doing. So no. He's incapable of coaching."
12,"I respect there imput and look to them to be inspired. They have taught me most of what I know. I look to them when I have questions. He is alwyas there for when when I feel unsure of my purpose and where I should be going from here. I have never had a bos like him that care so much about my future. He looks in on what I am up too and helps me see a clearer path when I feel lost. He makes me feel valued as a team member, but just someone who was hired to do a job then forget about it."
13,"My supervisor was a bit strangely acting when I first started working under him. After about 2-3 months under him, we created a good working relationship that benefited both of us mutually at work.

He recognizes everyone's effort and appreciates whatevereffort we make to complete or showcase out talent at work. He behaves in a good manner even when met outside the work.

Regarding the relationship with other co-workers, he is fair among out group at least. He shares all work related materials and inputs ithin the team and expects all of us to put in our share of the work when working on a group project."
14,"With my job it is very independent, there is not a lot of interaction with the managers. Their are nice training sessions that I can attend to learn more or get clarity. I can also email my managers for help and assistance or concerns. I believe that the esponse to my concerns shows that my manager respects me. Most of those I work with have the same experience with the managers that I have. We are independent contractors so a lot of happenings are just between, me, myself, and I. However, there is a leadrship ladder, and high ups that i can consult when I need to. 

There is not a lot of interaction because this is a contract work, and it is a work from home position. so therefore access to people in general is limited. Hoiwever I do not feel alone in th lease. I feel the company has done a wonderful job in making sure I feel supported and like they are there when we need them. There are perks and drawbacks to working remotely."
15,"I think I have a great relationship with my leader; she is open with me and the coworkers on my team about company issues and goals.  I would say that my relationship is comparable to others on the team; we get along great, and she is always available to iscuss any issues I am having with my workload.  She provides coaching when we ask for it, but she is always will to send us off for training that will help us do our jobs better.  She does have the exact technical skill set needed to do a lot of our work so we must seek outside help at times.  She always stands behind our work and treats us with respect."
16,"The relationship that I have with my leader is a great one. We understand each other's goals and dreams and no that working in unison will help us both achieve what the other wants to do. When I am stuck in a rut, this person knows how to get me out of itand it works the other way. My leader also gives me the freedom to do what I need to do within the confines of my employ and that shows the kind of respect he has for me by letting me on the longer leash. This mutual respect helps strengthen what we did ad makes us a better team. This also fosters a work environment that people admire and look to when developing their team and the needs of their team."
17,"She and I have a very strong two way relationship.  She trusts me to run her restaurant, and I do my best to put my skills and training to use.  We bounce ideas off of one another and make the best of the situation.  We have each others backs and support ne another no matter what.  If I have a problem, I can go to her with it.  If she has something she needs to get off of her chest, she can talk to me and work it out.  We both know what we need to do to make this place run well.  We just really work well ogether and it has taken years to cultivate this relationship.  I feel like I am a family member at this place of work."
18,"My leader is a true representative with great leadership qualities. 
1) He helps in every way possible, if we have doubts regarding project or anything. He has vast knowledge in the area and thus help us with the same.
2) He is always polite and professioal while communicating with fellow members of the organization. He does not insult or make fun of any co-worker in front of an audience.
3) I think it is more or less same as my co-workers. My manager doesn't really discriminate between people of differen backgrounds or different departments. He has a good behavior towards each and every individual as a person."
19,"He give positive advice ,he behave show me very much respect,I have good relationship with my manager because if i done some error he care me and solve that error and problem also teach me how to do solve this also my leader gives advice how to do furtherand how to handle those errors with very calm ,also my leader shares the experience with me for positive attitude also share personal experience with me so that we have good relationship like friend ,i am very luck to have the great leader ,also have verymuch proud to this great leader

Some advice from my leader
A team leader should be a role model to his team members. He should treat each and every individual as one and avoid partiality at work Do not give anyone a special treatment just because he drop your son to school every day or says a yes to whatever you say. Appreciate if someone has done exceptionally well but do make sure to correct him if he is wrong somewhere. The team leader should not be rude or harsh to anyone. There is a correct way for verything and one should not insult any team member. It is strictly unethical. Sit with him and make him realize his mistakes. He would definitely look up to you in future.

The superior must not act pricy and should always be accessible to his employees.The individuals must have the liberty to walk up to their immediate bosses in case of a doubt and clear things. The hierarchy should not be too complicated as it leads to confusions and disputes among employees.

The manager must ensure that all importantcommunication takes place on an open forum for everyone to get a common picture. Problems arise when communication is done on a one to one basis. Call everyone together so that all the members are clear as to what is expected out of them and what their coleagues are up to. Communication should be transparent for an effective employee relation. Any employee should not feel neglected or left out. If the team leader wants to pass on any information to his team m"
20,"My leader is a good and helpful person. He always have time for me to make me understand things. He gives me a theoretical ex poser of what I am going to do and let me do the practical work for myself, so that I can learn and understand the problems and ticks behind a field work. He always pays attention when I tell him my ideas. Even when my ideas are bogus, he don't insult me. He tries to modify or reassess my ideas and polish it to be a good one, He behaves with all the employee in a friendly and helpfl manners and takes care of everyone. He made such an environment in the workplace that our intellectual can flourish without a hitch."
